מס. לקוח,שם לקוח,עיר,כתובת,קו רוחב,קו אורך,תאריך תיקון,ימים
1167215,"פינת המזל ת""א","תל אביב - יפו","יצחק רבין 82",32.066064,34.803549,"25/08/2026 14:23","היום"
1152586,"י.ו קובי ממתקים בע""מ בית שמש","בית שמש","יצחק רבין 71",31.747383,34.992911,"24/08/2026 11:29","אתמול"
1154333,"ממתקי קובי בית שמש","בית שמש","כיכר נירמן 1",31.749254,34.987583,"24/08/2026 11:28","אתמול"
1130422,"נטו חיסכון(סופר ספיר)שלום שבזי 16-ביתר עילית(40)","ביתר עילית","שלום שבזי 16",31.696308,35.126939,"24/08/2026 11:16","אתמול"
1130493,"סופר ספיר בנימינה- סניף 395","בנימינה-גבעת עדה","אזור תעשיה כרמל",32.547233,34.956733,"20/08/2026 14:29","לפני 5 ימים"
1126044,"כ.נ.מחסני השוק בע""מ-קריה חרדית ב""ש-סניף 82","באר שבע","טולדנו 12",31.268069,34.778637,"20/08/2026 05:23","לפני 6 ימים"
1124044,"ויקטורי אשקלון אפרידר( צפון).סניף 52","אשקלון","בן צבי48",31.67607,34.575926,"17/08/2026 13:13","לפני 8 ימים"
1131811,"ד.נ.קמעונאות ושיווק שבעת הכוכבים בע""מ-שד' י-ם","אשקלון","שד' ירושלים 50",31.684744,34.574102,"17/08/2026 08:34","לפני 8 ימים"
1130491,"סופר ספיר קרית גת- סניף 274","קרית גת","משה ברזני 35,שכונת רובע בנים",31.620061,34.757814,"16/08/2026 09:45","לפני 9 ימים"
1132012,"סיטונאות רחמים בע""מ-בן גוריון אשקלון סניף - 7","אשקלון","בן גוריון 7",31.668174,34.55694,"13/08/2026 09:43","לפני 12 ימים"
1111036,"שופרסל דיל ירושלים- גילה סניף  114","ירושלים","צביה ויצחק 17",31.7817477,35.2086108,"28/07/2026 16:15","לפני 28 ימים"
1130911,"שוק העיר אשקלון צפוני סניף - 5","אשקלון","הנחושת 10, א.ת.צפוני",31.668914,34.602666,"28/07/2026 14:58","לפני 28 ימים"
1138014,"חריש התאנה","חריש","התאנה 19",32.460825,35.039119,"15/07/2026 10:00","לפני 41 ימים"
1138028,"שער בנימין","בנימין","אזור תעשייה שער בנימין",31.865575,35.261645,"15/07/2026 10:00","לפני 41 ימים"
1138030,"טבריה","טבריה","מיכאל 7",32.7935917,35.5321904,"15/07/2026 10:00","לפני 41 ימים"
1138031,"חריש","חריש","טופז 1",32.4667806,35.0484118,"15/07/2026 10:00","לפני 41 ימים"
1138032,"מגדל העמק","מגדל העמק","הזית 4",32.6757994,35.2384784,"15/07/2026 10:00","לפני 41 ימים"
1138033,"גן ורשא","בני ברק","רבי עקיבא 94",32.0859521,34.8315349,"15/07/2026 10:00","לפני 41 ימים"
1138034,"סמטת אזר","בני ברק","העליה השניה 6",32.0905218,34.834588,"15/07/2026 10:00","לפני 41 ימים"
1138035,"הרב קוק","בני ברק","הרב קוק 5",32.0872987,34.8271337,"15/07/2026 10:00","לפני 41 ימים"
1138036,"רכסים","רכסים","אזור תעשיה",32.759212,35.097752,"15/07/2026 10:00","לפני 41 ימים"
1138040,"טבנקין","באר שבע","טבנקין 76",31.2536884,34.7722505,"15/07/2026 10:00","לפני 41 ימים"
1138041,"יוחנן הורקנוס","באר שבע","יוחנן הורקנוס 1",31.2655619,34.7954562,"15/07/2026 10:00","לפני 41 ימים"
1138042,"ברנפלד","באר שבע","ברנפלד 17",31.2704307,34.7991725,"15/07/2026 10:00","לפני 41 ימים"
1138043,"טבריה 2","טבריה","הנשיא וויצמן 65",32.7799835,35.5109634,"15/07/2026 10:00","לפני 41 ימים"
1138046,"קריית ספר","מודיעין עילית","שערי תשובה 14",31.933159,35.043286,"15/07/2026 10:00","לפני 41 ימים"
1138047,"באר שבע","באר שבע","דוד המלך 2 מרכז גילת",31.264551,34.7930447,"15/07/2026 10:00","לפני 41 ימים"
1005,"מחסני השוק חולון","חולון","סוקולוב 30",31.989191,34.910151,"02/07/2026 11:53","לפני 54 ימים"
1130921,"שוק העיר אפרת סניף - 16","אפרת","זית שמן 1 מתחם אפרת סנטר",31.652382,35.151102,"29/06/2026 13:05","לפני 57 ימים"
1126066,"כ.נ.מחסני השוק בע""מ-אפרת סניף-242","אפרת","התאנה מרכז מסחרי ג'",31.653165,35.151292,"25/05/2026 13:29","לפני 92 ימים"
1140061,"טיב טעם קינג ג'ורג' ת""א סניף - 89","תל אביב","קינג ג'ורג' 8",32.070516,34.771757,"",""
