סדר הדפסה,מיקום,ביי,מקט,שם,משפחה
401,401,1,721,"‬דג וובלה מיובש‭","דגיםKAZAHSTAN"
402,402,2,717,"‬דג לש 'מיובש‭","דגיםKAZAHSTAN"
403,403,3,724,"‬דג לש 'מעושן‭","דגיםKAZAHSTAN"
404,404,4,719,"‬דג סודאק מיובש‭","דגיםKAZAHSTAN"
405,405,5,725,"‬דג צ'חון מעושן‭","דגיםKAZAHSTAN"
406,406,6,726,"‬דג צ'חון מיובש‭","דגיםKAZAHSTAN"
407,407,7,727,"‬דג ז'אריך מיובש‭","דגיםKAZAHSTAN"
408,408,8,728,"‬דג ז'אריך מעושן‭","דגיםKAZAHSTAN"
409,409,9,1112,"‬שבבי דיונון בטעם סרטן מבושל,מיובש ומומלח90 ג(50)'‭","דגים פודסטוק"
410,410,10,1113,"‬שבבי קלמר מיובש ומומלח90 ג(50)'‭","דגים פודסטוק"
411,411,11,1114,"‬רצועות קלמר מיובש ומומלח בטעם סרטן90 ג(50)'‭","דגים פודסטוק"
412,412,12,1115,"‬רצועות קלמר מעושן מיובש ומומלח90 ג(50)'‭","דגים פודסטוק"
413,413,13,1116,"‬רצועות קלמר מיובש ומומלח עם פלפל צ'ילי90 ג(50)'‭","דגים פודסטוק"
414,414,14,1117,"‬פרוסות דג שיבוט אלבין מיובש ומומלח100 ג(50)'‭","דגים פודסטוק"
415,415,15,1118,"‬פרוסות דג שיבוט אלבין מיובש עם צ'ילי100 ג(50)'‭","דגים פודסטוק"
416,416,16,1119,"‬פרוסות דג שיבוט אלבין מיובש ומומלח ללא עור90 ג(50)'‭","דגים פודסטוק"
417,419,17,245,"דג צ'חון מיובשRUSSIA","דגיםRUSSIA"
418,420,18,246,"דג ז'אריך מיובשRUSSIA","דגיםRUSSIA"
419,421,19,247,"דג לש"" 'טושקה ""מיובשRUSSIA","דגיםRUSSIA"
420,422,20,1105,"‬ (287)BAR CHILIדג ברקודה צ'ילי מלוח100 ג(52)'חום‭","דגים פודסטוק"
421,423,21,1102,"‬ 256)IMPERATOR)דג צנינית צהובה פסים מלוח100 ג(52)'תכלת‭","דגים פודסטוק"
422,424,22,1104,"‬ 270)BARAKUDA)דג ברקודה  מיובש100 ג(52)'כתום‭","דגים פודסטוק"
423,425,23,1101,"‬ 232)POLOSATIK)דג צנינון הכתם מיובש100 ג(52)'סגול‭","דגים פודסטוק"
424,426,24,1100,"‬ 218)BALICHOK)דג צנינון הכתם מיובש100 ג(52)'אפור‭","דגים פודסטוק"
425,427,25,714,"‬ 305)ANCHOVY)דג עפינית זוטר מיובש ומומלח120 ג(52)'‭","דגים פודסטוק"
426,428,26,704,"דג צנינית צהובה פסים מלוח100 IMPERATOR ג'","דגים פודסטוק"
427,429,27,701,"‬דג ברקודה מלוח מיובש100 (199)ג(52)'‭","דגים פודסטוק"
428,430,28,713,"‬דג ברקודה עם צ'ילי מלוח מיובש100 (727)ג(52)'‭","דגים פודסטוק"
429,431,29,712,"‬דג צנינון הכתם מלוח מיובש100 (697)ג(52)'‭","דגים פודסטוק"
430,432,30,711,"‬דג צנינון הכתם מלוח מיובש100 (734)ג(52)'‭","דגים פודסטוק"
431,433,31,237,"רצועות פילה דג לש 'מיובש100 RUSSIA ג'","דגיםRUSSIA"
432,434,32,239,"רצועות פילה דג סום מיובש100 RUSSIA ג'","דגיםRUSSIA"
433,435,33,240,"דג קרסנופיורקה מיובשRUSSIA","דגיםRUSSIA"
434,436,34,241,"דג לש 'מיובשRUSSIA","דגיםRUSSIA"
435,437,35,242,"דג וובלה מיובשRUSSIA","דגיםRUSSIA"
436,438,36,1099,"‬דג צלופח מטוגן עם צ'ילי מלוח מיובש80 (991)ג(52)'‭","דגים פודסטוק"
437,444,37,722,"דג פילה סום מעושן","דגיםKAZAHSTAN"
438,445,38,238,"רצועות פילה דג ש'יוקה מיובש100 RUSSIA ג'","דגיםRUSSIA"
439,446,39,1098,"דג צלופח מטוגן מלוח מיובש80ג'","דגים פודסטוק"
440,447,40,244,"דג ש'יוקה מיובשRUSSIA","דגיםRUSSIA"
441,448,41,243,"דג סודאק מיובשRUSSIA","דגיםRUSSIA"
442,449,42,720,"דג זאב מים מיובש","דגיםKAZAHSTAN"
443,450,43,1103,"TARANOCHKAדג אופירית מלוח מיובש100 ג'אדום","דגים פודסטוק"
444,451,44,715,"SHRIMPSחסילונים מיובשים ומומלחים80 ג'","דגים פודסטוק"
445,452,45,716,"SHRIMPS CHILLIחסילונים מיובשים ומומלחים עם צ'ילי80 ג","דגים פודסטוק"
