סדר הדפסה,מיקום,ביי,מקט,שם,משפחה
301,309,1,403007,"פילה מקרל מומלח בעישון חם מצונן150 גרם8) NP)","NORD PORT מצונן פורל/סלמון"
302,310,2,403008,"פילה מקרל מומלח בעישון חם עם פלפל שחור גרוס150 גרם8) NP)","NORD PORT מצונן פורל/סלמון"
303,311,3,403004,"פילה פורל מעושן פרוס מצונן250 גרםNP","NORD PORT מצונן פורל/סלמון"
304,312,4,403003,"פילה סלמון מעושן פרוס מצונן250 גרםNP","NORD PORT מצונן פורל/סלמון"
305,313,5,403006,"פילה פורל מעושן מצונן200 גרםNP","NORD PORT מצונן פורל/סלמון"
306,314,6,403002,"פילה פורל מעושן פרוס מצונן100 גרםNP","NORD PORT מצונן פורל/סלמון"
307,315,7,403005,"פילה סלמון מעושן מצונן200 גרםNP","NORD PORT מצונן פורל/סלמון"
308,316,8,403001,"פילה סלמון מעושן פרוס מצונן100 גרםNP","NORD PORT מצונן פורל/סלמון"
309,317,9,1017,"איקרה ביצי דג טרוטונית והרינג עם פורל וסלמון180 ג'","SANTA BREMOR דגים"
310,318,10,1018,"ביצי דג טרוטונית MOIVA עם חסילונים180 ג'","SANTA BREMOR דגים"
311,319,11,1015,"איקרה ביצי דג טרוטונית והרינג180 ג'","SANTA BREMOR דגים"
312,320,12,1109,"איקרה ביצי דג טרוטונית והרינג עם אבקדו,פורל וסלמון180 ג'","SANTA BREMOR דגים"
313,321,13,1122,"סלט איקרה לבנה 180 גרםNP","NORD PORT דגים"
314,322,14,1123,"סלט איקרה ורודה 180 גרםNP","NORD PORT דגים"
315,323,15,1124,"סלט איקרה עם פורל וסלמון מעושנים 180 גרםNP","NORD PORT דגים"
316,328,16,1014,"חתיכות פילה דג הרינג מלוח מצונן260 ג'","SANTA BREMOR דגים"
317,329,17,1012,"חתיכות פילה דג הרינג מלוח מצונן עם בצל260 ג'","SANTA BREMOR דגים"
318,330,18,1013,"חתיכות פילה דג הרינג מלוח מצונן עם תבלין260 ג","SANTA BREMOR דגים"
319,331,19,1049,"חתיכות פילה דג הרינג סקנדינבי מלוח מצונן260 ג'","SANTA BREMOR דגים"
320,333,20,1107,"בסגנון קוויאר שחור כדורי דג פורל230 ג'","NORD PORT דגים"
321,332,21,1106,"בסגנון קוויאר אדום כדורי דג פורל230 ג'","NORD PORT דגים"
322,334,22,1005,"חתיכות פילה דג הרינג מלוח בשמן מצונן400 ג'","SANTA BREMOR דגים"
323,335,23,1047,"חתיכות פילה דג הרינג מתובל מלוח בשמן400 ג'","SANTA BREMOR דגים"
324,336,24,1048,"חתיכות פילה דג הרינג סקנדינבי מלוח בשמן400 ג'","SANTA BREMOR דגים"
325,326,25,1168,"חתיכות פילה דג הרינג מומלח בשמן מצונן עם תבלין500 ג","NORD PORT דגים"
326,324,26,1166,"חתיכות פילה דג הרינג מומלח בשמן מצונן500 ג'","NORD PORT דגים"
327,325,27,1167,"חתיכות פילה דג הרינג סקנדינבי מומלח בשמן מצונן500 ג","NORD PORT דגים"
328,337,28,400001,"נתחי פילה הרינג עם בצל וזיתים מצונן"" פרובינציאל500  ""ג6)NP)","NORD PORT דגים"
329,338,29,400002,"נתחי פילה הרינג כבוש עם בצל מצונן520  ג6)NP)","NORD PORT דגים"
330,339,30,400003,"נתחי פילה הרינג מומלח עם שמיר בשמן מצונן500 ג6)NP)","NORD PORT דגים"
331,327,31,1120,"פילה דג הרינג סקנדינבי מלוח מצונן250 ג'","SANTA BREMOR דגים"
332,340,32,1011,"פילה דג הרינג מלוח מצונן250 ג'","SANTA BREMOR דגים"
333,341,33,1165,"פילה דג הרינג מומלח בשמן מצונן400 ג'","NORD PORT דגים"
334,342,34,1157,"פילה הרינג בשמן400 ג'","NORD PORT דגים"
335,370,35,1174,"פילה דג הרינג מומלח XXL בשמן מצונן300 ג'","SANTA BREMOR דגים"
336,369,36,1020,"ביצי דג שיבוט TRESKA מומלח מצונן130 ג'","SANTA BREMOR דגים"
337,368,37,1019,"ביצי דג זהבנון MINTAY מומלח מצונן130 ג'","SANTA BREMOR דגים"
338,343,38,1154,"פילה דג הרינג מומלח בשמן מצונן230 ג'","NORD PORT דגים"
339,344,39,1000,"פילה דג הרינג מומלח בשמן מצונן1200 ג(NP (3 '","NORD PORT דגים"
340,345,40,1002,"חתיכות פילה דג הרינג מומלח בשמן מצונן1200 ג3) NP)'","NORD PORT דגים"
