סדר הדפסה,מיקום,ביי,מקט,שם,משפחה
201,201,1,755,"GURMANגבינה אנלוגי מעושנת4)  LITA)","גבינה SVALIA"
202,202,2,660,"SVALYAגבינה אנלוגי5) LITA)","גבינה SVALIA"
203,203,3,662,"ROSSIYSKIYגבינה אנלוגי5)  LITA)","גבינה SVALIA"
204,204,4,661,"DVAROגבינה אנלוגי5)  LITA)","גבינה SVALIA"
205,205,5,664,"גבינה אנלוגי מעושנת1 SNACKS ק""ג4) LITA)","גבינה SVALIA"
206,206,6,413001,"גבינה קשה למחצה  GOUDA שומן28.5% PRESIDENT","PRESIDENT גבינות"
207,207,7,413002,"גבינה קשה למחצה  TILZITER שומן28.5% PRESIDENT","PRESIDENT גבינות"
208,208,8,413000,"גבינה קשה למחצה  HOLLAND שומן24.5% PRESIDENT","PRESIDENT גבינות"
209,224,9,630,"קפיר0.9 ל'","SVALIA שמנת/יוגורט/ דייסה"
210,223,10,624,"קפיר500 ג'","SVALIA שמנת/יוגורט/ דייסה"
211,222,11,631,"משקה חלבי0.5 ל'","SVALIA שמנת/יוגורט/ דייסה"
212,221,12,1076,"שמנת 30% SMETANA שומן200 ג'","SVALIA שמנת/יוגורט/ דייסה"
213,220,13,1077,"שמנת 15% SMETANA שומן350 ג'","SVALIA שמנת/יוגורט/ דייסה"
214,219,14,659,"גבינה מותכת 28%  שומן160 גרםSVALYA","SVALIA למריחה גבינה/'קוטג/טבורוג"
215,216,15,1052,"דייסת סולת עם תותי בר200 ג'","SVALIA שמנת/יוגורט/ דייסה"
216,217,16,1050,"דייסת שיבולת שועל200 ג'","SVALIA שמנת/יוגורט/ דייסה"
217,218,17,1053,"דייסת אורז עם משמש200 ג'","SVALIA שמנת/יוגורט/ דייסה"
218,215,18,1060,"יוגורט יווני200 ג'","SVALIA שמנת/יוגורט/ דייסה"
219,214,19,1062,"יוגורט יווני עם דובדבן150 ג'","SVALIA שמנת/יוגורט/ דייסה"
220,225,20,677,"GURMANגבינה אנלוגי מעושנת150 ג'","SVALIA פרוסות גבינה"
221,226,21,669,"ROSSIYSKIYגבינה אנלוגי150 ג'","SVALIA פרוסות גבינה"
222,227,22,667,"SVALYAגבינה אנלוגי150 ג'","SVALIA פרוסות גבינה"
223,228,23,668,"DVAROגבינה אנלוגי150 ג'","SVALIA פרוסות גבינה"
224,229,24,650,"פרוסות גבינה 24.7% MAASDAM שומן150 ג'","SVALIA פרוסות גבינה"
225,230,25,649,"פרוסות גבינה 27% EMMENTAL שומן150 ג'","SVALIA פרוסות גבינה"
226,231,26,645,"טבורוג 350 5% גרם","SVALIA למריחה גבינה/'קוטג/טבורוג"
227,232,27,646,"טבורוג 800 5% גרם","SVALIA למריחה גבינה/'קוטג/טבורוג"
228,233,28,644,"טבורוג 350 3% גרם","SVALIA למריחה גבינה/'קוטג/טבורוג"
229,234,29,643,"טבורוג 350 0.5% גרם","SVALIA למריחה גבינה/'קוטג/טבורוג"
230,235,30,628,"טבורוג250 5% ג'","SVALIA למריחה גבינה/'קוטג/טבורוג"
231,237,31,665,"גבינה פרמזן200 PARNIDZIO ג'","SVALIA פרוסות גבינה"
232,238,32,673,"GURMANגבינה אנלוגי מעושנת600 ג'","SVALIA פרוסות גבינה"
233,239,33,670,"SVALYAגבינה אנלוגי600 ג'","SVALIA פרוסות גבינה"
234,240,34,672,"ROSSIYSKIYגבינה אנלוגי600 ג'","SVALIA פרוסות גבינה"
235,241,35,412202,"גבינה מותכת GOUDA שומן70 14% גרם24) PRESIDENT)","PRESIDENT גבינות"
236,242,36,412200,"גבינה מותכת CREAMY שומן70 14.1% גרם24) PRESIDENT)","PRESIDENT גבינות"
237,243,37,412201,"גבינה מותכת HOLLAND שומן70 14% גרם24) PRESIDENT)","PRESIDENT גבינות"
238,244,38,410000,"שמנת חמוצה טבעית 15% שומן180 גרם8) PRESIDENT)","PRESIDENT גבינות"
239,245,39,410001,"שמנת חמוצה טבעית 20% שומן180 גרם8) PRESIDENT)","PRESIDENT גבינות"
240,246,40,410002,"שמנת חמוצה טבעית 15% שומן300 גרם8) PRESIDENT)","PRESIDENT גבינות"
241,247,41,410003,"שמנת חמוצה טבעית 20% שומן300 גרם8) PRESIDENT)","PRESIDENT גבינות"
242,248,42,410004,"שמנת חמוצה טבעית 30% שומן300 גרם8) PRESIDENT)","PRESIDENT גבינות"
243,249,43,411000,"טבורוג 5% שומן220 גרם12) PRESIDENT)","PRESIDENT גבינות"
244,250,44,411001,"טבורוג 5% שומן300 גרם9) PRESIDENT)","PRESIDENT גבינות"
245,251,45,411500,"גבינת שמנת קלאסית 24.5% שומן180 גרם6)PRESIDENT)","PRESIDENT גבינות"
246,252,46,412501,"גבינה מותכת  GOUDA שומן150 17% גרם12) PRESIDENT)","PRESIDENT גבינות"
247,253,47,412502,"גבינה מותכת  MAASDAM שומן150 17% גרם12) PRESIDENT)","PRESIDENT גבינות"
248,254,48,412500,"גבינה מותכת  CREAMY שומן150 18.3% גרם12) PRESIDENT)","PRESIDENT גבינות"
249,255,49,413501,"פרוסות גבינה קשה למחצה GOUDA שומן135 28.5% ג14)PRESIDENT)","PRESIDENT גבינות"
250,256,50,413502,"פרוסות גבינה קשה למחצה TLZITER שומן135 28.5% ג14)PRESIDENT)","PRESIDENT גבינות"
251,257,51,413500,"פרוסות גבינה קשה למחצה HOLLAND שומן135 24.5% ג14)PRESIDENT)","PRESIDENT גבינות"
252,258,52,413202,"גבינה קשה למחצה TILZITER שומן160 28.5%  גרם14) PRESIDENT)","PRESIDENT גבינות"
253,259,53,413201,"גבינה קשה למחצה GOUDA שומן160 28.5%  גרם14) PRESIDENT)","PRESIDENT גבינות"
254,260,54,413200,"גבינה קשה למחצה HOLLAND שומן160 24.5%  גרם14) PRESIDENT)","PRESIDENT גבינות"
