סדר הדפסה,מיקום,ביי,מקט,שם,משפחה
101,101,1,800,"חמאה בד""צ 82.5% רושן חדש200 ג'","חמאה רושן"
102,102,2,732,"חמאה200 FERMA 82.5% ג'","חמאה FERMA"
103,103,3,604,"חמאה200 ROSHEN 82.5% ג'","חמאה רושן"
104,104,4,736,"ממרח מחמאה 200 גרם20) KRESTYANSKAYA)","ממרחי חמאה"
105,105,5,739,"ממרח מחמאה 200 גרם20) TULCHINKA)","ממרחי חמאה"
106,106,6,740,"ממרח מחמאה 400 גרם20) KRESTYANSKAYA)","ממרחי חמאה"
107,108,7,802,"ממרח מחמאה 200 גרם20) LAKTIKA)","ממרחי חמאה"
108,107,8,803,"ממרח מחמאה בטעם שוקולד 200 גרם20) LAKTIKA)","ממרחי חמאה"
109,110,9,1191,"בלינצ'ס במילוי דובדבן מוקפא360 ג'","בלינצס"
110,109,10,1192,"בלינצ'ס במילוי גבינת טבורוג מוקפא360 ג'","בלינצס"
111,111,11,1190,"בלינצ'ס במילוי תפו""א ופטריות מוקפא420 ג'","בלינצס"
112,112,12,1193,"בלינצ'ס במילוי תפו""ע וקינמון מוקפא360 ג'","בלינצס"
113,113,13,1198,"בלינצ'ס במילוי ממרח קקאו-אגוזי לוז מוקפא360 ג","בלינצס"
114,114,14,1185,"כיסונים"" פרווה ""במילוי תפו""א ובצל מוקפאים450 ג'","כיסונים"
115,115,15,1187,"כיסונים במילוי גבינת טבורוג מוקפאים450 ג'","כיסונים"
116,116,16,1180,"לביבות גבינת טבורוג מוקפאות450 ג'","כיסונים"
117,117,17,1184,"כיסונים"" פרווה ""במילוי תפו""א ופטריות מוקפאים450 ג'","כיסונים"
118,118,18,1182,"כיסונים במילוי דובדבנים מוקפאים450 ג'","כיסונים"
119,119,19,1195,"בצק שמרים מרודד מוקפא450 ג'","בצק"
120,120,20,1196,"בצק עלים מרודד מוקפא450 ג'","בצק"
121,121,21,1197,"בצק שמרים עלים מרודד מוקפא450 ג'","בצק"
122,122,22,1194,"עלי בלינצ'ס מוקפאים320 ג'","עלי בלינצס"
123,123,23,420003,"עוגת פראג0.85 ק""ג","עוגות רושן"
124,124,24,420004,"עוגת קייבסקי0.85 ק""ג","עוגות רושן"
125,125,25,420005,"עוגת קייבסקי0.45 ק""ג","עוגות רושן"
126,126,26,420006,"עוגת גריליאז0.45 'ק""ג","עוגות רושן"
127,127,27,420007,"עוגת זולוטוי קלוצ'יק0.5 ק""ג","עוגות רושן"
128,128,28,420008,"עוגת טרופל0.52 ק""ג","עוגות רושן"
129,129,29,420002,"עוגת MEDOVIK שכבות בצק דבש וקרם וניל1 ק""ג","עוגות מוזיקה"
130,130,30,420001,"עוגת NAPOLEON שכבות בצק עלים וקרם וניל1 ק""ג","עוגות מוזיקה"
131,131,31,818,"חטיף גבינה וניל45 ג'","חטיף גבינה"
132,132,32,815,"חטיף גבינה עם ריבת חלב45 ג'","חטיף גבינה"
133,133,33,816,"חטיף גבינה תות שדה45 ג'","חטיף גבינה"
134,134,34,817,"חטיף גבינה בטעם שוקולד45 ג'","חטיף גבינה"
135,137,35,1051,"סורימי בטעם סרטן קפוא150 ג'","SANTA BREMOR דגים"
136,135,36,1045,"מקלות סורימי בטעם סרטן קפוא200 ג'","SANTA BREMOR דגים"
137,136,37,1046,"נתחי סורימי בטעם סרטן קפוא200 ג'","SANTA BREMOR דגים"
138,144,38,1031,"פילה דג סלמון מלוח פרוס קפוא100 ג'","SANTA BREMOR"
139,145,39,1030,"פילה דג סלמון מעושן פרוס קפוא100 ג'","SANTA BREMOR"
140,146,40,1032,"פילה דג פורל מעושן פרוס קפוא100 ג'","SANTA BREMOR"
141,147,41,1034,"פילה דג סלמון מעושן קפוא200 ג'","SANTA BREMOR"
142,148,42,1035,"פילה דג סלמון מלוח קפוא200 ג'","SANTA BREMOR"
143,149,43,1036,"פילה דג פורל מעושן קפוא200 ג'","SANTA BREMOR"
144,150,44,1216,"פירושקי עם פרג360 גרםVALESTO","VALESTA"
145,151,45,1215,"פירושקי במילוי גבינה360 גרםVALESTO","VALESTA"
146,152,46,1214,"פירושקי עם כרוב360 גרםVALESTO","VALESTA"
147,153,47,1213,"פירושקי עם תפו""א360 גרםVALESTO","VALESTA"
148,154,48,1217,"פירושקי עם דובדבנים360 גרםVALESTO","VALESTA"
149,155,49,1218,"פירושקי עם תפוחי עץ360 גרםVALESTO","VALESTA"
150,156,50,1219,"חצ'פורי גבינה300 גרםVALESTO","VALESTA"
151,159,51,1208,"בלינצ'ס במילוי דובדבן מוקפא7 ק""ג","מוסדי"
152,160,52,1211,"בלינצ'ס במילוי ממרח קקאו-אגוזי לוז מוקפא7 ק""ג","מוסדי"
153,161,53,1209,"בלינצ'ס במילוי גבינת טבורוג מוקפא7 ק""ג","מוסדי"
